Item Description,Posting Date,Product_Amount
DOC - COMMERCIAL BROILERS,2022-02-24 00:00:00,7438466.0099999998
DOC - COMMERCIAL COCKS,2021-10-21 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-09-23 00:00:00,1757215.01
DOC - COMMERCIAL BROILERS,2021-12-23 00:00:00,5149509.0299999993
DOC - COMMERCIAL BROILERS,2021-09-20 00:00:00,3804280
DOC - KEN BRO,2021-11-08 00:00:00,211925.12
DOC - COMMERCIAL LAYERS,2022-02-01 00:00:00,2292594.1000000001
DOC - KEN BRO,2022-02-02 00:00:00,583250
DOC - COMMERCIAL LAYERS,2021-09-08 00:00:00,3175928.6800000002
DOC - COMMERCIAL BROILERS,2021-10-24 00:00:00,0.01
DOC - COMMERCIAL BROILERS,2021-11-05 00:00:00,8178463.2199999997
DOC - COMMERCIAL LAYERS,2021-12-03 00:00:00,2583994.5399999991
DOC - KEN BRO,2021-12-18 00:00:00,963800.02000000002
DOC - COMMERCIAL COCKS,2021-12-23 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-12-24 00:00:00,1903187.8500000001
DOC - KEN BRO,2021-09-09 00:00:00,1563250.0699999998
DOC - KEN BRO,2021-09-15 00:00:00,2607238.25
DOC - COMMERCIAL LAYERS,2021-10-18 00:00:00,1556810
DOC - COMMERCIAL BROILERS,2021-12-15 00:00:00,3089843.1199999996
DOC - COMMERCIAL LAYERS,2022-01-26 00:00:00,3315659.8199999998
DOC - COMMERCIAL BROILERS,2022-02-07 00:00:00,9200184
DOC - KEN BRO,2022-02-08 00:00:00,2186867.8999999999
DOC - COMMERCIAL COCKS,2022-02-07 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL LAYERS,2021-09-02 00:00:00,1037730.03
DOC - COMMERCIAL BROILERS,2021-10-30 00:00:00,6253483.0099999998
DOC - COMMERCIAL LAYERS,2021-12-20 00:00:00,1377850.01
DOC - COMMERCIAL BROILERS,2021-12-29 00:00:00,3546550
DOC - KEN BRO,2021-10-22 00:00:00,857732.83999999997
DOC - COMMERCIAL COCKS,2022-02-24 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2021-09-03 00:00:00,6860804.1500000004
DOC - KEN BRO,2021-09-03 00:00:00,1263716.45
DOC - KEN BRO,2022-01-04 00:00:00,651925
DOC - KEN BRO,2022-02-16 00:00:00,574700.01000000001
DOC - KEN BRO,2022-02-22 00:00:00,716400.25
DOC - COMMERCIAL LAYERS,2021-11-01 00:00:00,1006380.04
DOC - COMMERCIAL BROILERS,2022-02-16 00:00:00,917067
DOC - COMMERCIAL LAYERS,2021-11-27 00:00:00,624625.01000000001
DOC - COMMERCIAL BROILERS,2021-12-06 00:00:00,6435183.0300000003
DOC - COMMERCIAL LAYERS,2022-01-15 00:00:00,946500.02000000002
DOC - COMMERCIAL BROILERS,2022-01-24 00:00:00,8580895
DOC - COMMERCIAL BROILERS,2022-01-04 00:00:00,9377735
DOC - KEN BRO,2021-10-16 00:00:00,1670085.1799999999
DOC - KEN BRO,2021-12-04 00:00:00,1167255.1100000001
DOC - COMMERCIAL COCKS,2022-01-24 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2021-11-16 00:00:00,7159400
DOC - COMMERCIAL BROILERS,2022-01-18 00:00:00,8941165.3999999985
DOC - COMMERCIAL LAYERS,2021-09-25 00:00:00,3973635
DOC - COMMERCIAL LAYERS,2021-10-01 00:00:00,3463837.4900000002
DOC - KEN BRO,2021-10-02 00:00:00,1382580.01
DOC - COMMERCIAL BROILERS,2021-10-04 00:00:00,6539541
DOC - KEN BRO,2022-01-10 00:00:00,437425.02000000002
DOC - KEN BRO,2022-02-28 00:00:00,368776.01000000001
DOC - COMMERCIAL LAYERS,2021-11-13 00:00:00,2806970.0299999998
DOC - COMMERCIAL BROILERS,2021-11-22 00:00:00,9296032
DOC - COMMERCIAL LAYERS,2022-01-03 00:00:00,570600
DOC - COMMERCIAL LAYERS,2022-02-21 00:00:00,1943600.02
DOC - KEN BRO,2021-10-11 00:00:00,391215
DOC - KEN BRO,2021-11-03 00:00:00,1124291.23
DOC - KEN BRO,2021-09-18 00:00:00,1485790.03
DOC - COMMERCIAL COCKS,2021-11-08 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-10-28 00:00:00,1290670.1500000001
DOC - KEN BRO,2021-11-09 00:00:00,413100
DOC - COMMERCIAL LAYERS,2021-09-09 00:00:00,1863475
DOC - COMMERCIAL BROILERS,2021-11-04 00:00:00,7806754
DOC - COMMERCIAL BROILERS,2022-01-29 00:00:00,9793140.0299999993
DOC - KEN BRO,2022-02-11 00:00:00,1012145.25
DOC - COMMERCIAL LAYERS,2021-10-27 00:00:00,2779210.0499999998
DOC - KEN BRO,2021-12-13 00:00:00,255975.01000000001
DOC - COMMERCIAL LAYERS,2022-01-21 00:00:00,3145403.5700000003
DOC - COMMERCIAL LAYERS,2021-10-19 00:00:00,2256490.0299999998
DOC - COMMERCIAL BROILERS,2021-12-14 00:00:00,6092296
DOC - COMMERCIAL BROILERS,2021-12-20 00:00:00,6240476.0099999998
DOC - KEN BRO,2022-02-03 00:00:00,1448580
DOC - COMMERCIAL LAYERS,2021-09-03 00:00:00,3710039.2000000002
DOC - KEN BRO,2021-09-10 00:00:00,1470957.6799999999
DOC - COMMERCIAL BROILERS,2021-10-29 00:00:00,7359375.21
DOC - COMMERCIAL LAYERS,2022-01-27 00:00:00,2312125
DOC - COMMERCIAL BROILERS,2021-09-25 00:00:00,5647532.0099999998
